1,0.38307,-0.12043,1.7089,0.69176,-0.57576,1.2717,-1.0309,-0.95851,1.6519,0.91089
1,-1.34,0.34832,-0.9961,-1.515,-0.93728,-0.069454,-1.9431,0.25139,-0.90311,-0.23198
1,-1.307,-1.181,-0.27154,-0.50903,-0.84604,1.6269,0.23891,-1.7701,-0.74735,-0.86839
3,-3.74,-0.6428,0.21704,-0.43696,-3.8757,0.40101,-0.35295,-2.7084,-0.82935,2.7127
1,0.53775,-0.27917,-0.44426,-0.019871,-2.2614,-0.38127,-1.1625,-1.1404,0.53479,1.5262
3,1.2677,2.7578,-1.7476,-1.8433,0.2774,-2.5479,4.4092,-2.1865,0.49049,-0.66743
2,1.906,-3.3074,2.9298,-1.1603,0.26408,2.353,-0.4742,1.5618,1.1627,-0.26089
2,1.0563,-1.6282,-0.27191,-2.216,-0.49822,0.73092,0.85352,2.1576,-1.6253,-4.2775
1,-1.5426,0.034926,-0.18476,-1.0435,-0.077515,-1.8636,-0.048333,1.7918,0.52374,0.68188
3,-1.1751,2.0167,-1.1534,2.373,-0.011351,3.2684,-1.1122,-4.578,1.2962,-0.51428
3,-1.4591,-1.1921,1.0488,-2.791,0.84604,-0.098488,-4.6461,2.5746,0.6666,1.8326
1,1.5834,0.79707,0.63179,-1.7996,-1.7032,-0.078347,0.7273,0.50792,0.50105,-0.80715
1,-0.46451,0.083253,2.5506,0.40932,0.7207,0.96251,-1.1512,0.018714,1.1907,0.16214
2,0.49437,-1.4101,0.88995,0.14041,0.87951,-1.7172,4.4727,0.11885,2.6513,-0.74084
2,2.7587,0.99202,-0.028509,0.026636,2.1984,0.25259,-1.0405,0.34762,-4.2453,-1.5488
1,1.3085,0.1864,1.3832,-1.7406,-0.34828,-1.4977,-0.50454,-1.2375,-0.59023,0.70963
2,1.1778,-0.73432,1.4037,-1.1384,-3.5011,-1.047,0.65811,1.9895,-0.9057,3.5309
2,1.1171,-0.0030166,0.20729,-4.4525,-0.31994,1.6489,-1.462,0.67862,1.2123,-2.7145
1,0.16438,-0.75636,0.68059,-1.2475,0.33084,-1.2313,-1.8499,-0.43635,2.0657,0.035396
3,0.76981,4.7085,0.32415,0.58677,-2.0287,0.27576,-0.73638,-0.79216,-0.97023,-4.3949
3,-2.2293,1.8794,-1.0241,-0.56569,3.0485,-3.6166,-1.594,-1.8386,-2.5658,-1.5905
2,-1.5112,2.5567,-3.0537,0.53004,2.4264,1.4901,-2.1823,-1.2211,1.6162,-0.016681
2,-2.4222,2.4863,0.76665,-0.8539,2.7271,-1.9213,1.5111,3.0318,0.6995,0.27325
